3.42022e+17 -5.55656
6.84044e+17 -5.97554
1.02607e+18 -6.39641
1.36809e+18 -6.81783
1.71011e+18 -7.23054
2.05213e+18 -7.66199
2.39415e+18 -8.06979
2.73618e+18 -8.48704
3.0782e+18 -8.92321
3.42022e+18 -9.35284
3.76224e+18 -9.77281
4.10426e+18 -10.1507
4.44628e+18 -10.5953
4.78831e+18 -11.0065
5.13033e+18 -11.4072
5.47235e+18 -12.001
5.81437e+18 -12.217
6.15639e+18 -12.6111
6.49842e+18 -13.2434
6.84044e+18 -13.5871
7.18246e+18 -14.2062
7.52448e+18 -14.012
7.8665e+18 -14.725
8.20853e+18 -15.5459
8.55055e+18 -15.1713
8.89257e+18 -15.9979
9.23459e+18 -inf
9.57661e+18 -16.8452
9.91864e+18 -inf
1.02607e+19 -17.9438
1.06027e+19 -17.2507
1.09447e+19 -17.2507
1.12867e+19 -inf
1.16287e+19 -inf
