1 12.0943
2 11.7721
3 11.4515
4 11.1319
5 10.8111
6 10.4879
7 10.174
8 9.84337
9 9.51731
10 9.1881
11 8.87122
12 8.56617
13 8.25166
14 7.91096
15 7.61283
16 7.26263
17 6.95559
18 6.67077
19 6.2634
20 6.01127
21 5.81413
22 5.26269
23 4.92725
24 4.7185
25 4.31749
26 3.93183
27 4.00733
28 3.68888
29 3.52636
30 3.17805
31 2.30259
32 0.693147
33 1.60944
34 2.48491
35 1.94591
36 0.693147
37 0
38 -inf
39 0.693147
40 1.60944
41 -inf
42 -inf
43 -inf
44 -inf
45 -inf
46 -inf
47 -inf
48 -inf
49 -inf
50 -inf
51 -inf
52 -inf
53 -inf
54 -inf
55 -inf
56 -inf
57 0
58 -inf
59 -inf
60 -inf
