1 315659
2 183489
3 106049
4 61457
5 35030
6 20209
7 11924
8 6574
9 3872
10 2141
11 1307
12 792
13 427
14 237
15 180
16 95
17 45
18 29
19 10
20 7
21 5
22 4
23 0
24 0
