4.21103e+17 -5.37387
8.42205e+17 -5.91638
1.26331e+18 -6.46463
1.68441e+18 -7.0102
2.10551e+18 -7.57233
2.52662e+18 -8.12241
2.94772e+18 -8.64998
3.36882e+18 -9.24541
3.78992e+18 -9.77476
4.21103e+18 -10.3673
4.63213e+18 -10.8608
5.05323e+18 -11.3617
5.47433e+18 -11.9795
5.89544e+18 -12.5682
6.31654e+18 -12.8433
6.73764e+18 -13.4824
7.15874e+18 -14.2296
7.57985e+18 -14.669
8.00095e+18 -15.7337
8.42205e+18 -16.0904
8.84316e+18 -16.4269
9.26426e+18 -16.65
9.68536e+18 -inf
1.01065e+19 -inf
